SystemTime,PolarRealtimeBPM,PolarBPM,PPGSignal
2026-01-13 17:44:38.784,,,523
2026-01-13 17:44:38.784,,,522
2026-01-13 17:44:38.784,,,522
2026-01-13 17:44:38.784,,,520
2026-01-13 17:44:38.796,,,519
2026-01-13 17:44:38.797,,,518
2026-01-13 17:44:38.830,,,517
2026-01-13 17:44:38.830,,,510
2026-01-13 17:44:38.863,,,509
2026-01-13 17:44:38.864,,,509
2026-01-13 17:44:38.897,,,507
2026-01-13 17:44:38.897,,,509
2026-01-13 17:44:38.930,,,504
2026-01-13 17:44:38.930,,,504
2026-01-13 17:44:38.963,,,506
2026-01-13 17:44:38.964,,,504
2026-01-13 17:44:38.997,,,501
2026-01-13 17:44:38.997,,,504
2026-01-13 17:44:39.030,,,505
2026-01-13 17:44:39.031,,,508
2026-01-13 17:44:39.064,,,509
2026-01-13 17:44:39.064,,,507
2026-01-13 17:44:39.097,,,509
2026-01-13 17:44:39.098,,,509
2026-01-13 17:44:39.131,,,500
2026-01-13 17:44:39.131,,,497
2026-01-13 17:44:39.164,,,501
2026-01-13 17:44:39.165,,,504
2026-01-13 17:44:39.197,,,504
2026-01-13 17:44:39.198,,,503
2026-01-13 17:44:39.231,,,502
2026-01-13 17:44:39.231,,,495
2026-01-13 17:44:39.264,,,495
2026-01-13 17:44:39.265,,,495
2026-01-13 17:44:39.298,,,501
2026-01-13 17:44:39.298,,,503
2026-01-13 17:44:39.331,,,509
2026-01-13 17:44:39.332,,,507
2026-01-13 17:44:39.365,,,506
2026-01-13 17:44:39.365,,,507
2026-01-13 17:44:39.398,,,513
2026-01-13 17:44:39.399,,,516
2026-01-13 17:44:39.432,,,524
2026-01-13 17:44:39.432,,,528
2026-01-13 17:44:39.465,,,532
2026-01-13 17:44:39.465,,,531
2026-01-13 17:44:39.498,,,529
2026-01-13 17:44:39.499,,,527
2026-01-13 17:44:39.532,,,522
2026-01-13 17:44:39.532,,,512
2026-01-13 17:44:39.565,,,514
2026-01-13 17:44:39.565,,,512
2026-01-13 17:44:39.599,,,511
2026-01-13 17:44:39.599,,,510
2026-01-13 17:44:39.632,,,507
2026-01-13 17:44:39.632,,,505
2026-01-13 17:44:39.666,,,507
2026-01-13 17:44:39.666,,,506
2026-01-13 17:44:39.699,,,510
2026-01-13 17:44:39.699,,,511
2026-01-13 17:44:39.733,,,509
2026-01-13 17:44:39.733,,,508
2026-01-13 17:44:39.766,,,507
2026-01-13 17:44:39.766,,,504
2026-01-13 17:44:39.799,,,503
2026-01-13 17:44:39.799,,,501
2026-01-13 17:44:39.833,,,497
2026-01-13 17:44:39.833,,,496
2026-01-13 17:44:39.866,,,496
2026-01-13 17:44:39.867,,,494
2026-01-13 17:44:39.900,,,495
2026-01-13 17:44:39.900,,,496
2026-01-13 17:44:39.933,,,499
2026-01-13 17:44:39.933,,,498
2026-01-13 17:44:39.967,,,498
2026-01-13 17:44:39.967,,,497
2026-01-13 17:44:40.000,,,498
2026-01-13 17:44:40.000,,,498
2026-01-13 17:44:40.033,,,497
2026-01-13 17:44:40.034,,,495
2026-01-13 17:44:40.067,,,496
2026-01-13 17:44:40.067,,,495
2026-01-13 17:44:40.100,,,496
2026-01-13 17:44:40.100,,,497
2026-01-13 17:44:40.134,,,498
2026-01-13 17:44:40.134,,,502
2026-01-13 17:44:40.167,,,504
2026-01-13 17:44:40.167,,,511
2026-01-13 17:44:40.201,,,521
2026-01-13 17:44:40.201,,,524
2026-01-13 17:44:40.234,,,533
2026-01-13 17:44:40.235,,,539
2026-01-13 17:44:40.268,,,538
2026-01-13 17:44:40.268,,,532
2026-01-13 17:44:40.301,,,525
2026-01-13 17:44:40.302,,,522
2026-01-13 17:44:40.335,,,512
2026-01-13 17:44:40.335,,,510
2026-01-13 17:44:40.368,,,509
2026-01-13 17:44:40.368,,,506
2026-01-13 17:44:40.401,,,509
2026-01-13 17:44:40.402,,,508
2026-01-13 17:44:40.435,,,506
2026-01-13 17:44:40.435,,,507
2026-01-13 17:44:40.468,,,505
2026-01-13 17:44:40.468,,,505
2026-01-13 17:44:40.502,,,506
