SystemTime,PolarRealtimeBPM,PolarBPM
2026-01-13 17:44:43.378,80,
2026-01-13 17:44:44.146,79,
2026-01-13 17:44:44.849,83,
2026-01-13 17:44:45.584,83,
2026-01-13 17:44:46.287,83,
2026-01-13 17:44:47.022,83,
2026-01-13 17:44:47.724,85,
2026-01-13 17:44:48.427,87,
2026-01-13 17:44:49.129,83,
2026-01-13 17:44:49.931,76,
2026-01-13 17:44:50.734,74,
2026-01-13 17:44:51.503,78,
2026-01-13 17:44:52.272,76,
2026-01-13 17:44:53.074,76,
2026-01-13 17:44:53.877,75,
2026-01-13 17:44:54.646,78,
2026-01-13 17:44:55.448,74,
2026-01-13 17:44:56.251,75,
2026-01-13 17:44:57.054,74,
2026-01-13 17:44:57.823,76,
2026-01-13 17:44:58.625,76,
2026-01-13 17:44:59.428,74,
2026-01-13 17:45:00.230,74,
2026-01-13 17:45:01.033,76,
2026-01-13 17:45:01.802,75,
2026-01-13 17:45:02.638,72,
2026-01-13 17:45:03.474,72,
2026-01-13 17:45:04.276,76,
2026-01-13 17:45:05.112,70,
2026-01-13 17:45:05.981,70,
2026-01-13 17:45:06.851,68,
2026-01-13 17:45:07.687,72,
2026-01-13 17:45:08.556,70,
2026-01-13 17:45:09.392,70,
2026-01-13 17:45:10.295,67,
2026-01-13 17:45:11.131,70,
2026-01-13 17:45:12.000,70,
2026-01-13 17:45:12.870,70,
2026-01-13 17:45:13.706,72,
2026-01-13 17:45:14.475,76,
2026-01-13 17:45:15.277,75,
2026-01-13 17:45:16.113,71,
2026-01-13 17:45:17.016,67,
2026-01-13 17:45:17.852,70,
2026-01-13 17:45:18.755,67,
2026-01-13 17:45:19.658,66,
2026-01-13 17:45:20.560,67,
2026-01-13 17:45:21.430,69,
2026-01-13 17:45:22.299,69,
2026-01-13 17:45:23.135,72,
2026-01-13 17:45:23.937,73,
2026-01-13 17:45:24.740,76,
2026-01-13 17:45:25.476,80,
2026-01-13 17:45:26.245,81,
2026-01-13 17:45:26.981,80,
2026-01-13 17:45:27.749,79,
2026-01-13 17:45:28.519,76,
2026-01-13 17:45:29.321,76,
2026-01-13 17:45:30.124,75,
2026-01-13 17:45:30.927,73,
2026-01-13 17:45:31.695,78,
2026-01-13 17:45:32.464,80,
2026-01-13 17:45:33.233,79,
2026-01-13 17:45:33.969,79,
2026-01-13 17:45:34.705,81,
2026-01-13 17:45:35.407,85,
2026-01-13 17:45:36.109,86,
2026-01-13 17:45:36.811,84,
2026-01-13 17:45:37.513,85,
2026-01-13 17:45:38.249,85,
2026-01-13 17:45:38.951,85,
2026-01-13 17:45:39.687,81,
2026-01-13 17:45:40.422,81,
2026-01-13 17:45:41.158,81,
2026-01-13 17:45:41.861,83,
2026-01-13 17:45:42.563,85,
2026-01-13 17:45:43.265,85,
2026-01-13 17:45:43.967,86,
2026-01-13 17:45:44.669,86,
2026-01-13 17:45:45.371,85,
2026-01-13 17:45:46.073,85,
2026-01-13 17:45:46.810,83,
2026-01-13 17:45:47.511,85,
2026-01-13 17:45:48.180,87,
2026-01-13 17:45:48.849,89,
2026-01-13 17:45:49.551,88,
2026-01-13 17:45:50.253,87,
2026-01-13 17:45:50.922,87,
2026-01-13 17:45:51.658,81,
2026-01-13 17:45:52.427,79,
2026-01-13 17:45:53.196,76,
2026-01-13 17:45:53.965,78,
2026-01-13 17:45:54.735,79,
2026-01-13 17:45:55.470,81,
2026-01-13 17:45:56.206,83,
2026-01-13 17:45:56.874,87,
2026-01-13 17:45:57.576,87,
2026-01-13 17:45:58.278,85,
2026-01-13 17:45:59.014,81,
2026-01-13 17:45:59.750,79,
2026-01-13 17:46:00.485,81,
2026-01-13 17:46:01.288,78,
2026-01-13 17:46:02.057,78,
2026-01-13 17:46:02.792,81,
2026-01-13 17:46:03.461,87,
2026-01-13 17:46:04.130,89,
2026-01-13 17:46:04.799,89,
2026-01-13 17:46:06.104,46,
2026-01-13 17:46:06.772,89,
2026-01-13 17:46:07.474,89,
2026-01-13 17:46:08.143,88,
2026-01-13 17:46:08.845,85,
2026-01-13 17:46:09.547,85,
2026-01-13 17:46:10.250,85,
2026-01-13 17:46:10.985,81,
2026-01-13 17:46:11.721,81,
2026-01-13 17:46:12.490,78,
2026-01-13 17:46:13.292,78,
2026-01-13 17:46:14.028,81,
2026-01-13 17:46:14.730,85,
2026-01-13 17:46:15.432,85,
2026-01-13 17:46:16.134,85,
2026-01-13 17:46:16.803,87,
2026-01-13 17:46:17.472,89,
2026-01-13 17:46:18.108,94,
2026-01-13 17:46:18.809,88,
2026-01-13 17:46:19.512,85,
2026-01-13 17:46:20.247,83,
2026-01-13 17:46:21.017,78,
2026-01-13 17:46:21.785,77,
2026-01-13 17:46:22.555,78,
2026-01-13 17:46:23.323,78,
2026-01-13 17:46:24.126,74,
2026-01-13 17:46:24.929,74,
2026-01-13 17:46:25.731,74,
2026-01-13 17:46:26.467,81,
2026-01-13 17:46:27.203,82,
2026-01-13 17:46:27.938,82,
2026-01-13 17:46:28.640,83,
2026-01-13 17:46:29.342,85,
2026-01-13 17:46:30.045,85,
2026-01-13 17:46:30.780,85,
2026-01-13 17:46:31.483,83,
2026-01-13 17:46:32.251,78,
2026-01-13 17:46:33.054,76,
2026-01-13 17:46:33.857,74,
2026-01-13 17:46:34.626,78,
2026-01-13 17:46:35.394,76,
2026-01-13 17:46:36.231,73,
2026-01-13 17:46:37.033,74,
2026-01-13 17:46:37.902,71,
2026-01-13 17:46:38.772,69,
2026-01-13 17:46:39.575,74,
2026-01-13 17:46:40.343,76,
2026-01-13 17:46:41.046,87,
2026-01-13 17:46:41.714,90,
2026-01-13 17:46:42.383,89,
2026-01-13 17:46:43.988,37,
2026-01-13 17:46:44.858,67,
2026-01-13 17:46:45.760,66,
2026-01-13 17:46:46.630,68,
2026-01-13 17:46:47.499,68,
2026-01-13 17:46:48.402,68,
2026-01-13 17:46:49.205,73,
2026-01-13 17:46:49.974,78,
2026-01-13 17:46:50.743,81,
2026-01-13 17:46:51.445,85,
2026-01-13 17:46:52.114,87,
2026-01-13 17:46:52.849,83,
2026-01-13 17:46:53.585,81,
2026-01-13 17:46:54.387,74,
2026-01-13 17:46:55.290,65,
2026-01-13 17:46:56.260,63,
2026-01-13 17:46:57.230,61,
2026-01-13 17:46:58.166,65,
2026-01-13 17:46:59.069,65,
2026-01-13 17:46:59.938,69,
2026-01-13 17:47:00.707,78,
2026-01-13 17:47:01.443,83,
2026-01-13 17:47:02.112,89,
2026-01-13 17:47:02.780,89,
2026-01-13 17:47:03.483,85,
2026-01-13 17:47:04.252,78,
2026-01-13 17:47:05.088,73,
2026-01-13 17:47:05.924,70,
2026-01-13 17:47:06.793,69,
2026-01-13 17:47:07.696,66,
2026-01-13 17:47:08.565,68,
2026-01-13 17:47:09.469,68,
2026-01-13 17:47:10.337,68,
2026-01-13 17:47:11.207,69,
2026-01-13 17:47:12.043,71,
2026-01-13 17:47:12.879,72,
2026-01-13 17:47:13.681,76,
2026-01-13 17:47:14.384,83,
2026-01-13 17:47:15.086,87,
2026-01-13 17:47:15.755,87,
2026-01-13 17:47:16.490,83,
2026-01-13 17:47:17.292,76,
2026-01-13 17:47:18.128,71,
2026-01-13 17:47:18.998,68,
2026-01-13 17:47:19.934,65,
2026-01-13 17:47:20.870,64,
2026-01-13 17:47:21.807,64,
2026-01-13 17:47:22.743,64,
