SystemTime,PolarRealtimeBPM,PolarBPM,PPGSignal
2025-11-25 18:40:44.811,,,438
2025-11-25 18:40:44.811,,,437
2025-11-25 18:40:44.812,,,436
2025-11-25 18:40:44.812,,,427
2025-11-25 18:40:44.812,,,423
2025-11-25 18:40:44.812,,,425
2025-11-25 18:40:44.812,,,427
2025-11-25 18:40:44.812,,,431
2025-11-25 18:40:44.813,,,442
2025-11-25 18:40:44.813,,,450
2025-11-25 18:40:44.813,,,474
2025-11-25 18:40:44.813,,,488
2025-11-25 18:40:44.813,,,513
2025-11-25 18:40:44.813,,,526
2025-11-25 18:40:44.838,,,531
2025-11-25 18:40:44.839,,,526
2025-11-25 18:40:44.872,,,505
2025-11-25 18:40:44.872,,,490
2025-11-25 18:40:44.905,,,459
2025-11-25 18:40:44.906,,,430
2025-11-25 18:40:44.939,,,417
2025-11-25 18:40:44.939,,,396
2025-11-25 18:40:44.972,,,390
2025-11-25 18:40:44.972,,,389
2025-11-25 18:40:45.005,,,391
2025-11-25 18:40:45.006,,,398
2025-11-25 18:40:45.039,,,405
2025-11-25 18:40:45.039,,,413
2025-11-25 18:40:45.072,,,425
2025-11-25 18:40:45.073,,,430
2025-11-25 18:40:45.106,,,438
2025-11-25 18:40:45.106,,,443
2025-11-25 18:40:45.139,,,447
2025-11-25 18:40:45.139,,,447
2025-11-25 18:40:45.173,,,447
2025-11-25 18:40:45.173,,,446
2025-11-25 18:40:45.206,,,446
2025-11-25 18:40:45.206,,,442
2025-11-25 18:40:45.240,,,442
2025-11-25 18:40:45.240,,,438
2025-11-25 18:40:45.273,,,434
2025-11-25 18:40:45.273,,,431
2025-11-25 18:40:45.307,,,425
2025-11-25 18:40:45.307,,,420
2025-11-25 18:40:45.340,,,419
2025-11-25 18:40:45.340,,,421
2025-11-25 18:40:45.373,,,477
2025-11-25 18:40:45.374,,,478
2025-11-25 18:40:45.407,,,587
2025-11-25 18:40:45.407,,,734
2025-11-25 18:40:45.441,,,803
2025-11-25 18:40:45.441,,,918
2025-11-25 18:40:45.474,,,962
2025-11-25 18:40:45.474,,,953
2025-11-25 18:40:45.507,,,883
2025-11-25 18:40:45.507,,,765
2025-11-25 18:40:45.541,,,702
2025-11-25 18:40:45.541,,,593
2025-11-25 18:40:45.574,,,526
2025-11-25 18:40:45.574,,,496
2025-11-25 18:40:45.608,,,461
2025-11-25 18:40:45.608,,,439
2025-11-25 18:40:45.641,,,435
2025-11-25 18:40:45.641,,,430
2025-11-25 18:40:45.675,,,440
2025-11-25 18:40:45.675,,,450
2025-11-25 18:40:45.708,,,476
2025-11-25 18:40:45.708,,,500
2025-11-25 18:40:45.741,,,509
2025-11-25 18:40:45.742,,,515
2025-11-25 18:40:45.775,,,509
2025-11-25 18:40:45.775,,,499
2025-11-25 18:40:45.808,,,474
2025-11-25 18:40:45.808,,,445
2025-11-25 18:40:45.842,,,431
2025-11-25 18:40:45.842,,,407
2025-11-25 18:40:45.875,,,389
2025-11-25 18:40:45.875,,,383
2025-11-25 18:40:45.908,,,378
2025-11-25 18:40:45.909,,,378
2025-11-25 18:40:45.942,,,380
2025-11-25 18:40:45.942,,,389
2025-11-25 18:40:45.976,,,401
2025-11-25 18:40:45.976,,,407
2025-11-25 18:40:46.009,,,421
2025-11-25 18:40:46.009,,,429
2025-11-25 18:40:46.042,,,435
2025-11-25 18:40:46.043,,,440
2025-11-25 18:40:46.075,,,445
2025-11-25 18:40:46.076,,,445
2025-11-25 18:40:46.109,,,447
2025-11-25 18:40:46.109,,,443
2025-11-25 18:40:46.142,,,440
2025-11-25 18:40:46.143,,,433
2025-11-25 18:40:46.176,,,431
2025-11-25 18:40:46.176,,,429
2025-11-25 18:40:46.209,,,427
2025-11-25 18:40:46.209,,,425
2025-11-25 18:40:46.243,,,425
2025-11-25 18:40:46.243,,,420
2025-11-25 18:40:46.276,,,419
2025-11-25 18:40:46.276,,,417
2025-11-25 18:40:46.309,,,420
2025-11-25 18:40:46.310,,,448
2025-11-25 18:40:46.343,,,481
2025-11-25 18:40:46.343,,,596
2025-11-25 18:40:46.376,,,745
2025-11-25 18:40:46.377,,,814
2025-11-25 18:40:46.410,,,933
2025-11-25 18:40:46.410,,,979
2025-11-25 18:40:46.443,,,975
2025-11-25 18:40:46.444,,,907
2025-11-25 18:40:46.477,,,846
2025-11-25 18:40:46.477,,,720
2025-11-25 18:40:46.510,,,596
2025-11-25 18:40:46.510,,,553
2025-11-25 18:40:46.544,,,479
2025-11-25 18:40:46.544,,,433
2025-11-25 18:40:46.577,,,422
2025-11-25 18:40:46.577,,,412
2025-11-25 18:40:46.610,,,417
2025-11-25 18:40:46.611,,,436
2025-11-25 18:40:46.644,,,451
2025-11-25 18:40:46.644,,,501
2025-11-25 18:40:46.677,,,502
2025-11-25 18:40:46.678,,,533
2025-11-25 18:40:46.711,,,551
2025-11-25 18:40:46.711,,,551
2025-11-25 18:40:46.744,,,534
2025-11-25 18:40:46.744,,,504
2025-11-25 18:40:46.778,,,487
2025-11-25 18:40:46.778,,,450
2025-11-25 18:40:46.811,,,422
2025-11-25 18:40:46.811,,,410
2025-11-25 18:40:46.845,,,392
2025-11-25 18:40:46.845,,,388
2025-11-25 18:40:46.878,,,390
2025-11-25 18:40:46.878,,,395
2025-11-25 18:40:46.911,,,407
2025-11-25 18:40:46.912,,,413
2025-11-25 18:40:46.945,,,423
2025-11-25 18:40:46.945,,,435
2025-11-25 18:40:46.978,,,446
2025-11-25 18:40:46.979,,,455
2025-11-25 18:40:47.012,,,461
2025-11-25 18:40:47.012,,,464
2025-11-25 18:40:47.045,,,468
2025-11-25 18:40:47.046,,,467
2025-11-25 18:40:47.079,,,468
2025-11-25 18:40:47.079,,,463
2025-11-25 18:40:47.112,,,459
2025-11-25 18:40:47.113,,,455
2025-11-25 18:40:47.145,,,447
2025-11-25 18:40:47.146,,,437
2025-11-25 18:40:47.179,,,435
2025-11-25 18:40:47.179,,,428
2025-11-25 18:40:47.212,,,429
2025-11-25 18:40:47.213,,,439
2025-11-25 18:40:47.246,,,497
2025-11-25 18:40:47.246,,,612
2025-11-25 18:40:47.279,,,693
2025-11-25 18:40:47.279,,,845
2025-11-25 18:40:47.312,,,923
2025-11-25 18:40:47.313,,,943
2025-11-25 18:40:47.346,,,921
2025-11-25 18:40:47.346,,,842
2025-11-25 18:40:47.380,,,785
2025-11-25 18:40:47.380,,,667
2025-11-25 18:40:47.413,,,573
2025-11-25 18:40:47.413,,,525
2025-11-25 18:40:47.446,,,453
2025-11-25 18:40:47.447,,,418
2025-11-25 18:40:47.480,,,409
2025-11-25 18:40:47.480,,,402
2025-11-25 18:40:47.513,,,413
2025-11-25 18:40:47.513,,,422
2025-11-25 18:40:47.547,,,449
2025-11-25 18:40:47.547,,,479
2025-11-25 18:40:47.580,,,495
2025-11-25 18:40:47.580,,,518
2025-11-25 18:40:47.613,,,529
2025-11-25 18:40:47.614,,,527
2025-11-25 18:40:47.647,,,513
2025-11-25 18:40:47.647,,,481
2025-11-25 18:40:47.680,,,462
2025-11-25 18:40:47.681,,,430
2025-11-25 18:40:47.714,,,403
2025-11-25 18:40:47.714,,,392
2025-11-25 18:40:47.747,,,378
2025-11-25 18:40:47.748,,,375
2025-11-25 18:40:47.781,,,377
2025-11-25 18:40:47.781,,,380
2025-11-25 18:40:47.814,,,390
2025-11-25 18:40:47.814,,,395
2025-11-25 18:40:47.848,,,405
2025-11-25 18:40:47.848,,,414
2025-11-25 18:40:47.881,,,418
2025-11-25 18:40:47.881,,,421
2025-11-25 18:40:47.914,,,427
2025-11-25 18:40:47.915,,,428
2025-11-25 18:40:47.948,,,432
2025-11-25 18:40:47.948,,,431
2025-11-25 18:40:47.981,,,432
2025-11-25 18:40:47.982,,,431
2025-11-25 18:40:48.015,,,428
2025-11-25 18:40:48.015,,,429
2025-11-25 18:40:48.048,,,428
2025-11-25 18:40:48.048,,,423
2025-11-25 18:40:48.082,,,421
2025-11-25 18:40:48.082,,,412
2025-11-25 18:40:48.115,,,408
2025-11-25 18:40:48.116,,,405
2025-11-25 18:40:48.148,,,410
2025-11-25 18:40:48.149,,,438
2025-11-25 18:40:48.182,,,471
2025-11-25 18:40:48.182,,,589
2025-11-25 18:40:48.215,,,734
2025-11-25 18:40:48.215,,,796
2025-11-25 18:40:48.249,,,888
2025-11-25 18:40:48.249,,,919
2025-11-25 18:40:48.282,,,908
2025-11-25 18:40:48.282,,,832
2025-11-25 18:40:48.316,,,716
2025-11-25 18:40:48.316,,,657
2025-11-25 18:40:48.349,,,574
2025-11-25 18:40:48.349,,,487
2025-11-25 18:40:48.382,,,461
2025-11-25 18:40:48.383,,,428
2025-11-25 18:40:48.416,,,421
2025-11-25 18:40:48.416,,,414
2025-11-25 18:40:48.449,,,418
2025-11-25 18:40:48.450,,,424
2025-11-25 18:40:48.483,,,443
